accession	n_samples	taxon	n_age_tokens	age_tokens	title	summary
GSE235942	30	Mus musculus	5	22 month old;22-month-old;4-month-old;6-month-old;aging	A comparison of bone microarchitectural and transcriptomic changes in murine long bones in response to hindlimb unloading and aging	Age and disuse-related bone loss both result in decreases in bone mineral density, cortical thickness, and trabecular thickness and connectivity. Disuse induces physiological changes in bone similar to those seen with aging. Animal studies used 6, and 22-month-old C57BL/6J male and female mice that were hindlimb unloaded (HLU) for 3 weeks. Ingenuity pathway analysis (IPA) included 4-month-old male mice unloaded for 3 weeks and a publicly available dataset (GLDS647) from 3-month female C57BL/6N mice unloaded for 7 days. There were age- and sex-dependent changes in bone structure and mechanical 
GSE246425	12	Homo sapiens	4	age 2;age 5;age 7;aging	Contributions of chondrocyte senescence and menopause to the increased incidence of osteoarthritis in older women	Osteoarthritis (OA) is a degenerative joint disease and a leading cause of disability worldwide. Aging is one of the major risk factors for OA, with the disease prevalence dramatically increasing after age 50. While OA is strongly associated with aging, the specific mechanisms underlying this connection remain unclear. In this pilot study, we performed bulk RNA sequencing on human knee articular chondrocytes to identify transcriptomic changes underlying OA development in the context of aging. We compared the gene expression profiles of chondrocytes isolated from osteoarthritic cartilage of old
GSE244880	1	Mus musculus	3	p36;p6;postnatal day	Hedgehog activation promotes osteogenic fates of growth plate resting zone chondrocytes through transient clonal competency [NovaA-186]	A single cell transcriptional profile of growth plate cells of the murine femur at postnatal day 36 (P36), lineage-marked by PTHrP-creER at P6
GSE244881	1	Mus musculus	3	p36;p6;postnatal day	Hedgehog activation promotes osteogenic fates of growth plate resting zone chondrocytes through transient clonal competency [NovaA-237]	A single cell transcriptional profile of growth plate cells of the murine femur at postnatal day 36 (P36), lineage-marked by PTHrP-creER at P6, Control
GSE270642	9	Homo sapiens	3	p1;p3;p6	Regularity of Chondrocyte Phenotypic Changes Identified by Single-cell Sequencing in vitro	The specific mechanism of phenotypic change of chondrocytes in vitro remains unclear. We performed single-cell sequencing of P1,P3, and P6 cells in vitro to explore the mechanisms involved.
GSE301414	4	Mus musculus	3	e11.5;e12.5;e14.5	Comprehensive single cell RNA-seq datasets of mice tracheas in 4 time points from E11.5 to E14.5	To explore the molecular signatures of tracheal cells during tracheal development, we performed single cell RNA-seq of developing whole tracheas. We identified 18 cell clusters that constitue  trachea tissue. Using sub-clustering analysis of chondrocyte progenitors at E12.5, we found Wnt-responsive chondrocytes that higly express wnt signaling target genes such as Lef1, Notum, Axin2.
GSE114919	60	Mus musculus; Rattus norvegicus	2	ageing;aging	Differential ageing of growth plate cartilage determines skeletal proportions	Bones at different anatomical locations vary dramatically in size.  The mechanisms responsible for these size differences are poorly understood.  Bone elongation occurs at the growth plates and advances rapidly in early life but then progressively slows due to a developmental program termed growth plate senescence. This developmental program includes declines in cell proliferation and hypertrophy, depletion of cells in all growth plate zones, and extensive underlying changes in the expression of growth-regulating genes. Here we use RNA-Seq to compare changes of gene expression with age in the 
GSE152285	2	Mus musculus	2	aging;e12	Induction of osteogenesis by bone-targeted Notch activation	Declining bone mass is associated with aging and osteoporosis, a disease characterized by progressive weakening of the skeleton and increased fracture incidence. Growth and lifelong homeostasis of bone involve interactions between different cell types including vascular cells and mesenchymal stromal cells (MSCs). As these interactions involve Notch signaling, we have explored whether treatment with secreted Notch ligand proteins can enhance osteogenesis in adult mice. We show that a bone-targeting, high affinity version of the ligand Delta-like 4 (termed Dll4(E12)) induces bone formation witho
GSE159544	4	Mus musculus	2	p6;postnatal day	Hypertrophic chondrocytes and osteogenesis in P6 mouse tibia	It has been shown that hypertrophic chondrocyte (HC) can become osteoblast, contributing to the formation of trabecular bone and endosteum. However, it is unclear what genes regulate the process of differentiation from chondrocyte to osteoblast. Conditional knock-out of Irx 3 and Irx5 in HCs can reduce the trabecular bone amount and there is also some evidence that ablation of Irx3 and Irx5 in HCs can promote bone marrow adipogenesis. In order to investigate the gene regulatory network with different dosage of Irx3/5 in HC descendants (i.e. in Loss-of-Function mutant and heterozygous control),
GSE182540	28	Mus musculus	2	aging;p53	Premature aging  in growth-plate and periosteum resident skeletal stem cells is responsible for bone loss	Skeleton system has shown high cell heterogeneousity. Different subpopulation of skeleton stem cells or mesenchymal stem cells have been identified by using varied protein markers. However, the decline of which cell types are responsible for age-related bone loss and what characteristic changes of these cells during aging remain to be determined. In the current study, we constructed a conditional premature aging model by deletion of Zmpste24 (Z24) in different cell types. We found that Prx1Cre; Z24fl/fl mice displayed bone loss while OsxCre; Z24fl/fl mice did not, indicating the populations of
GSE222203	8	Mus musculus	2	p10;postnatal day	MMP14 cleaves PTH1R in the chondrocyte derived osteoblast lineage, curbing signaling intensity for proper bone anabolism	Bone homeostasis is regulated by hormones such as parathyroid hormone (PTH). While PTH can stimulate osteo-progenitor expansion and bone synthesis, how the PTH-signaling intensity in progenitors is controlled is unclear. Endochondral bone osteoblasts arise from perichondrium-derived osteoprogenitors and hypertrophic chondrocytes (HC). We found, via single-cell transcriptomics, HC descendent cells activate membrane-type 1 metalloproteinase 14 (MMP14) and the PTH pathway as they transition to osteoblasts in neonatal and adult mice. Unlike Mmp14 global knockouts, postnatal day 10 (p10) HC lineage
GSE273538	4	Mus musculus	2	e14.5;p21	Gli1-expressing stromal cells are highly reparative precursors of long-lived chondroprogenitors in the fetal murine limb	Single-cell RNA sequencing of cells dissociated from Hindlimb at E14.5 embryos to identify how catch-up growth happens during injury and to  show transcriptional identities of contributors to chondrocytes in p21-overexpression induced injury model.
GSE273540	8	Mus musculus	2	e16.5;p21	Gli1-expressing stromal cells are highly reparative precursors of long-lived chondroprogenitors in the fetal murine limb	Single-nuclei RNA sequencing of cells dissociated from Hindlimb (femur and tibia, from RZ to PHT Region) from E16.5 embryos to identify how catch up grpwuth happens during injury and to to show transcriptional identities of contributors to chondrocytes in p21-overexpression induced injury  in unilateral models.
