sample	zone	n_cells	species	flag_under_100
P22202_primary_GSM9328229	resting	30	human	True
P22202_primary_GSM9328229	proliferative	23	human	True
P22202_primary_GSM9328229	prehypertrophic	13	human	True
P22202_primary_GSM9328229	hypertrophic	3	human	True
P25452_gh_GSM9328227	resting	3407	human	False
P25452_gh_GSM9328227	proliferative	1234	human	False
P25452_gh_GSM9328227	prehypertrophic	15	human	True
P25452_gh_GSM9328227	hypertrophic	646	human	False
P25452_gh_GSM9328228	resting	1507	human	False
P25452_gh_GSM9328228	proliferative	156	human	False
P25452_gh_GSM9328228	prehypertrophic	0	human	True
P25452_gh_GSM9328228	hypertrophic	358	human	False
P25452_primary_GSM9328224	resting	1106	human	False
P25452_primary_GSM9328224	proliferative	4787	human	False
P25452_primary_GSM9328224	prehypertrophic	1423	human	False
P25452_primary_GSM9328224	hypertrophic	332	human	False
P25452_vehicle_GSM9328225	resting	1054	human	False
P25452_vehicle_GSM9328225	proliferative	1242	human	False
P25452_vehicle_GSM9328225	prehypertrophic	33	human	True
P25452_vehicle_GSM9328225	hypertrophic	6546	human	False
P25452_vehicle_GSM9328226	resting	615	human	False
P25452_vehicle_GSM9328226	proliferative	518	human	False
P25452_vehicle_GSM9328226	prehypertrophic	15	human	True
P25452_vehicle_GSM9328226	hypertrophic	3576	human	False
P30453_gh_GSM9328220	resting	29	human	True
P30453_gh_GSM9328220	proliferative	80	human	True
P30453_gh_GSM9328220	prehypertrophic	166	human	False
P30453_gh_GSM9328220	hypertrophic	43	human	True
P30453_primary_GSM9328218	resting	729	human	False
P30453_primary_GSM9328218	proliferative	181	human	False
P30453_primary_GSM9328218	prehypertrophic	332	human	False
P30453_primary_GSM9328218	hypertrophic	20	human	True
P30453_vehicle_GSM9328219	resting	61	human	True
P30453_vehicle_GSM9328219	proliferative	14	human	True
P30453_vehicle_GSM9328219	prehypertrophic	47	human	True
P30453_vehicle_GSM9328219	hypertrophic	7	human	True
P31011_gh_GSM9328223	resting	536	human	False
P31011_gh_GSM9328223	proliferative	393	human	False
P31011_gh_GSM9328223	prehypertrophic	167	human	False
P31011_gh_GSM9328223	hypertrophic	10	human	True
P31011_primary_GSM9328221	resting	509	human	False
P31011_primary_GSM9328221	proliferative	53	human	True
P31011_primary_GSM9328221	prehypertrophic	5	human	True
P31011_primary_GSM9328221	hypertrophic	13	human	True
P31011_vehicle_GSM9328222	resting	453	human	False
P31011_vehicle_GSM9328222	proliferative	233	human	False
P31011_vehicle_GSM9328222	prehypertrophic	49	human	True
P31011_vehicle_GSM9328222	hypertrophic	8	human	True
GSE288028_M_P27153_r1	resting	143	mouse	False
GSE288028_M_P27153_r1	proliferative	448	mouse	False
GSE288028_M_P27153_r1	prehypertrophic	245	mouse	False
GSE288028_M_P27153_r1	hypertrophic	73	mouse	True
GSE288028_M_P27153_r2	resting	199	mouse	False
GSE288028_M_P27153_r2	proliferative	1184	mouse	False
GSE288028_M_P27153_r2	prehypertrophic	423	mouse	False
GSE288028_M_P27153_r2	hypertrophic	359	mouse	False
GSE288529_M_4wk_female	resting	3523	mouse	False
GSE288529_M_4wk_female	proliferative	2646	mouse	False
GSE288529_M_4wk_female	prehypertrophic	1783	mouse	False
GSE288529_M_4wk_female	hypertrophic	362	mouse	False
