mouse_gene,human_gene,human_ensembl,biology_score
Ptch1,PTCH1,ENSG00000185920,4.404587055631974
Smad6,SMAD6,ENSG00000137834,4.157589284916106
Ezh2,EZH2,ENSG00000106462,4.129937886339282
Pibf1,PIBF1,ENSG00000083535,3.9947718696873027
Eif4e2,EIF4E2,ENSG00000135930,3.8352959775570246
Fuz,FUZ,ENSG00000010361,3.8012920432269732
Apc,APC,ENSG00000134982,3.7468507038139
Arnt,ARNT,ENSG00000143437,3.743016328758806
Unc5b,UNC5B,ENSG00000107731,3.6974946188789684
Bambi,BAMBI,ENSG00000095739,3.6701534498180375
Mettl14,METTL14,ENSG00000145388,3.6214873057822636
Chd8,CHD8,ENSG00000100888,3.551531644419096
Sufu,SUFU,ENSG00000107882,3.5483980759524236
Cd200,CD200,ENSG00000091972,3.5463369835572047
Hnrnpc,HNRNPCL1,ENSG00000179172,3.52164032294615
Dcp2,DCP2,ENSG00000172795,3.5112678296319295
Ctbp1,CTBP1,ENSG00000159692,3.501595627013959
Strap,STRAP,ENSG00000023734,3.4852828157258458
Suz12,SUZ12,ENSG00000178691,3.4703887907040265
Eed,EED,ENSG00000074266,3.4561440942431427
Traf3ip1,TRAF3IP1,ENSG00000204104,3.450594054084585
Med26,MED26,ENSG00000105085,3.4333947261409743
Rbpj,RBPJ,ENSG00000168214,3.4325298819974996
Pax9,PAX9,ENSG00000198807,3.4291677260106166
Hdac5,HDAC5,ENSG00000108840,3.428985178086279
Gnas,GNAS,ENSG00000087460,3.424833057266349
Edc4,EDC4,ENSG00000038358,3.4166777091383658
Smurf2,SMURF2,ENSG00000108854,3.404164819380504
Runx2,RUNX2,ENSG00000124813,3.403797963999023
Fkbp1a,FKBP1A,ENSG00000088832,3.4014178750610276
Ppp2r5d,PPP2R5D,ENSG00000112640,3.384334535289335
Tsc2,TSC2,ENSG00000103197,3.3703981453744682
Wdpcp,WDPCP,ENSG00000143951,3.3621555186988825
Myh9,MYH9,ENSG00000100345,3.3603348345857333
Kdm2a,KDM2A,ENSG00000173120,3.351096234352336
Prkar1a,PRKAR1A,ENSG00000108946,3.3339597256181404
Det1,DET1,ENSG00000140543,3.325184210615316
Eif3h,EIF3H,ENSG00000147677,3.3197495637792276
Mtf2,MTF2,ENSG00000143033,3.307751323436267
Commd6,COMMD6,ENSG00000188243,3.3067661618286017
Bmpr2,BMPR2,ENSG00000204217,3.2922586150255313
Ift52,IFT52,ENSG00000101052,3.281374597155275
Aldh2,ALDH2,ENSG00000111275,3.274919767588532
Swi5,SWI5,ENSG00000175854,3.271826184712826
Traf3,TRAF3,ENSG00000131323,3.270946942031704
Cop1,COP1,ENSG00000143207,3.2555382405331916
Emsy,EMSY,ENSG00000158636,3.2475842278818496
Bptf,BPTF,ENSG00000171634,3.2165402538751264
Sox6,SOX6,ENSG00000110693,3.2162861975916863
Foxc1,FOXC1,ENSG00000054598,3.205665040513639
Nedd4,NEDD4,ENSG00000069869,3.20457837704955
Ptbp1,PTBP1,ENSG00000011304,3.1911375409989264
Cdyl,CDYL,ENSG00000153046,3.1766480662413628
Brd2,BRD2,ENSG00000204256,3.160057465404877
Arrb2,ARRB2,ENSG00000141480,3.1510227283585532
Hoxa11,HOXA11,ENSG00000005073,3.140165052387841
Ccm2,CCM2,ENSG00000136280,3.1188119799854994
Mib1,MIB1,ENSG00000101752,3.1139376034786665
Lrp6,LRP6,ENSG00000070018,3.111929392499036
Phf12,PHF12,ENSG00000109118,3.1115355256535047
Suv39h1,SUV39H1,ENSG00000101945,3.1080469035736327
Csde1,CSDE1,ENSG00000009307,3.106920274235674
Krit1,KRIT1,ENSG00000001631,3.1052243610941224
Sox9,SOX9,ENSG00000125398,3.1010695754343294
Pdcd10,PDCD10,ENSG00000114209,3.099665148635642
Pitrm1,PITRM1,ENSG00000107959,3.0854784621399705
Urod,UROD,ENSG00000126088,3.0635923168224166
Acvr1,ACVR1,ENSG00000115170,3.060191671090821
Afdn,AFDN,ENSG00000130396,3.0514812448410154
Commd5,COMMD5,ENSG00000170619,3.038873200944534
Lgr4,LGR4,ENSG00000205213,3.013864873135669
Kif3b,KIF3B,ENSG00000101350,2.9742485877146465
Gsk3b,GSK3B,ENSG00000082701,2.9589492494167753
Ralgapb,RALGAPB,ENSG00000170471,2.914633975244216
Washc1,WASH6P,ENSG00000182484,2.909817726061552
Ift172,IFT172,ENSG00000138002,2.8931468050905904
Cplane2,CPLANE2,ENSG00000132881,2.882644583109733
Kdelr2,KDELR2,ENSG00000136240,2.8801681208822334
Alad,ALAD,ENSG00000148218,2.8776340899941864
Ift57,IFT57,ENSG00000114446,2.8372358887162497
Epha2,EPHA2,ENSG00000142627,2.7832278501306504
Wbp1l,WBP1L,ENSG00000166272,2.7812561190673035
Gramd1a,GRAMD1A,ENSG00000089351,2.7781759486327893
Ankrd11,ANKRD11,ENSG00000167522,2.7781098447379473
Mtmr3,MTMR3,ENSG00000100330,2.7363828054928385
Bbc3,BBC3,ENSG00000105327,2.7245259578200716
Cbfb,CBFB,ENSG00000067955,2.6589140980054764
Ptges,PTGES,ENSG00000148344,2.614352741143902
Vps37c,VPS37C,ENSG00000167987,2.6013501002424513
Ccnf,CCNF,ENSG00000162063,2.5933412612106386
Wdr19,WDR19,ENSG00000157796,2.584969471986274
Vti1a,VTI1A,ENSG00000151532,2.5766610216293935
Btf3l4,BTF3L4,ENSG00000134717,2.5761989575020743
Tfap4,TFAP4,ENSG00000090447,2.5610718902262284
Setd5,SETD5,ENSG00000168137,2.538489531187008
Tjap1,TJAP1,ENSG00000137221,2.531823371262845
Mast3,MAST3,ENSG00000099308,2.523190443001514
Cep20,CEP20,ENSG00000133393,2.519754836204516
Ppa1,PPA1,ENSG00000180817,2.4899995828296317
Atp2b1,ATP2B1,ENSG00000070961,2.482040785900171
Brinp1,BRINP1,ENSG00000078725,2.474779254565825
Ckap2,CKAP2,ENSG00000136108,2.4428481444674155
Kdm1a,KDM1A,ENSG00000004487,2.441534593707751
Rc3h1,RC3H1,ENSG00000135870,2.4384118718570793
Zkscan3,ZKSCAN4,ENSG00000187626,2.406210259204141
Ppp2ca,PPP2CA,ENSG00000113575,2.3831661426906106
Gcn1,GCN1,ENSG00000089154,2.3772159141805247
Zdhhc5,ZDHHC5,ENSG00000156599,2.3569689352220142
Glud1,GLUD2,ENSG00000182890,2.353295652197333
Tmem184c,TMEM184C,ENSG00000164168,2.343943260982373
Vps29,VPS29,ENSG00000111237,2.341568057215457
Pdpr,PDPR,ENSG00000090857,2.2877251226982587
Emc3,EMC3,ENSG00000125037,2.275952988324053
Slc2a1,SLC2A1,ENSG00000117394,2.2680576905421135
Clic1,CLIC1,ENSG00000213719,2.2597285350114555
Slco2b1,SLCO2B1,ENSG00000137491,2.2476689682037354
Pkia,PKIA,ENSG00000171033,2.2338731660982125
Agrp,AGRP,ENSG00000159723,2.2332181915439238
Nop58,NOP58,ENSG00000055044,2.2192924436339148
Tubgcp5,TUBGCP5,ENSG00000275835,2.205522911186599
Cope,COPE,ENSG00000105669,2.199647625557623
Pagr1a,PAGR1,ENSG00000280789,2.1791450063057862
Junb,JUNB,ENSG00000171223,2.173230125757777
Emp2,EMP2,ENSG00000213853,2.158554921133133
Lamc1,LAMC1,ENSG00000135862,2.1393547444724654
Uxt,UXT,ENSG00000126756,2.0972256945425753
P4hb,P4HB,ENSG00000185624,2.09059381457894
Itgb1,ITGB1,ENSG00000150093,2.079248056777371
Nae1,NAE1,ENSG00000159593,2.0557845573287654
Sap30,SAP30,ENSG00000164105,2.0346015004029736
Stat3,STAT3,ENSG00000168610,2.01066787590857
Sec24b,SEC24B,ENSG00000138802,2.0076098420015986
Atp23,ATP23,ENSG00000166896,2.0047407717387697
Ogn,OGN,ENSG00000106809,2.0033787819046265
Dhrs7b,DHRS7B,ENSG00000109016,2.001698290035903
Stac2,STAC2,ENSG00000141750,1.9979435250715372
Hdlbp,HDLBP,ENSG00000115677,1.9934647753503425
Akap13,AKAP13,ENSG00000170776,1.9876508019916834
Tmeff2,TMEFF2,ENSG00000144339,1.9826616017099976
Ppp1r1c,PPP1R1C,ENSG00000150722,1.98261698576535
Senp2,SENP2,ENSG00000163904,1.9724987911930403
Smpd4,SMPD4,ENSG00000136699,1.9697025935667352
Mcm10,MCM10,ENSG00000065328,1.9312428313209988
Rln1,RLN1,ENSG00000107018,1.9280270311841228
Pou2af1,POU2AF1,ENSG00000110777,1.9227388276747366
Hdac7,HDAC7,ENSG00000061273,1.9195021474675886
Preb,PREB,ENSG00000138073,1.9134139524783065
1600012H06Rik,C6orf120,ENSG00000185127,1.9102728492618564
Msh2,MSH2,ENSG00000095002,1.8950599227118323
Mtpn,MTPN,ENSG00000105887,1.893166906963164
Mbd5,MBD5,ENSG00000204406,1.8859577502906542
Map2k4,MAP2K4,ENSG00000065559,1.8625142424994174
Kcns1,KCNS1,ENSG00000124134,1.8514918039355743
Rpl29,RPL29,ENSG00000162244,1.8502214191048045
Zfp697,ZNF697,ENSG00000143067,1.817956100528385
Osbpl5,OSBPL5,ENSG00000021762,1.8163104652619464
Psmd2,PSMD2,ENSG00000175166,1.8092906836876992
Bex1,BEX2,ENSG00000133134,1.8048657342562815
Mcu,MCU,ENSG00000156026,1.800077575713112
Eef2k,EEF2K,ENSG00000103319,1.7829795254737308
Irak2,IRAK2,ENSG00000134070,1.7759406374638183
Tbcc,TBCC,ENSG00000124659,1.7651448247841244
Nfya,NFYA,ENSG00000001167,1.7575904792033712
Eif3g,EIF3G,ENSG00000130811,1.7477829088981283
Efl1,EFL1,ENSG00000140598,1.7291254453830718
Tm2d1,TM2D1,ENSG00000162604,1.705797912675001
Ube2g2,UBE2G2,ENSG00000184787,1.7053444771810646
Pi4kb,PI4KB,ENSG00000143393,1.7044636715368728
Lrr1,LRR1,ENSG00000165501,1.7041255013051801
Rab40b,RAB40B,ENSG00000141542,1.6976941960825778
Top1,TOP1,ENSG00000198900,1.6834937419828413
Tcp1,TCP1,ENSG00000120438,1.6824091956374196
Ykt6,YKT6,ENSG00000106636,1.680410144280763
Padi3,PADI3,ENSG00000142619,1.6740824498197746
Rhog,RHOG,ENSG00000177105,1.6731671915762185
Zfp612,ZNF23,ENSG00000167377,1.6626505787877979
Arhgap1,ARHGAP1,ENSG00000175220,1.6565373333305211
Tomm20,TOMM20,ENSG00000173726,1.6550941003605864
Ovca2,OVCA2,ENSG00000262664,1.6511055439656595
Hypk,HYPK,ENSG00000242028,1.6492591322612769
Kat8,KAT8,ENSG00000103510,1.6427541381499589
Tsr3,TSR3,ENSG00000007520,1.6421759847793334
Prelid1,PRELID1,ENSG00000169230,1.6410495658392006
Klhl6,KLHL6,ENSG00000172578,1.6399839380634598
Tmem147,TMEM147,ENSG00000105677,1.6376988530720078
Ttc27,TTC27,ENSG00000018699,1.6332712526343527
Uri1,URI1,ENSG00000105176,1.6286545822244218
Gosr2,GOSR2,ENSG00000108433,1.626995534299731
Mat2a,MAT2A,ENSG00000168906,1.6124399830008143
Stat5a,STAT5A,ENSG00000126561,1.6104110766429813
Copb2,COPB2,ENSG00000184432,1.6011496671036696
4930453N24Rik,C3orf38,ENSG00000179021,1.5987394012053349
Hltf,HLTF,ENSG00000071794,1.5965214394409164
1700011L22Rik,C4orf51,ENSG00000237136,1.592162620780484
Crot,CROT,ENSG00000005469,1.5867824431581001
Uba1,UBA1,ENSG00000130985,1.5707233800756228
Gpr12,GPR12,ENSG00000132975,1.5703250348732587
Mitf,MITF,ENSG00000187098,1.569889884213011
Rxfp2,RXFP2,ENSG00000133105,1.565332602221939
Slc35a2,SLC35A2,ENSG00000102100,1.5507982222232648
Gpr162,GPR162,ENSG00000250510,1.5492870551085427
Fam161a,FAM161A,ENSG00000170264,1.5370858240443581
Usf3,USF3,ENSG00000176542,1.5247704032891842
H2bc21,H2BC11,ENSG00000124635,1.5079010986304253
Gp1ba,GP1BA,ENSG00000185245,1.4963553613388982
Gcgr,GCGR,ENSG00000215644,1.495541699045721
Niban1,NIBAN1,ENSG00000135842,1.4784722229323024
Snx7,SNX7,ENSG00000162627,1.4735660091424747
Ss18l2,SS18L2,ENSG00000008324,1.46777284895579
Polrmt,POLRMT,ENSG00000099821,1.4506081485238371
Zfp981,ZNF34,ENSG00000196378,1.4495668825022348
Yju2,YJU2,ENSG00000105248,1.4269208197108398
Cfhr1,CFHR1,ENSG00000244414,1.423717132473956
Crisp4,CRISP1,ENSG00000124812,1.389903962713709
