gene,target_class,allelic_series_class,verdict,requirements_met,failing_requirements,human_direction,human_direction_note,molecular_direction,molecular_direction_note,animal_agreement,animal_agreement_note,accessible_intervention,accessible_intervention_note,human_causal_grade_increasing,human_increasing_variants,n_mouse_longer,n_mouse_shorter,subcellular_location,transmembrane_regions,n_chembl_targets,chembl_activities,uniprot
NPR3,cell-surface receptor,CLEAN_HEIGHT_INCREASING_HYPOMORPH,MEETS ALL FOUR REQUIREMENTS,4,none,True,protein-altering variants raise height (rs142228984; rs146301345),True,mouse allele type is stated: homozygous targeted allele - LOSS,True,human variants raise height and mouse loss lengthens bone,True,cell-surface - reachable at the receptor level,6,rs142228984; rs146301345,5,0,Cell membrane,1,3,230,P17342
STC2,secreted inhibitor,CLEAN_HEIGHT_INCREASING_HYPOMORPH,MEETS ALL FOUR REQUIREMENTS,4,none,True,protein-altering variants raise height (rs148833559),True,mouse allele type is stated: homozygous targeted allele - LOSS,True,human variants raise height and mouse loss lengthens bone,True,secreted - reachable by an extracellular agent,3,rs148833559,1,0,Secreted,0,0,0,O76061
ADAMTS10,extracellular protease,DIRECTION_UNRESOLVED,two of four,2,the molecular direction of the perturbation is known; animal genetics agree with the human direction,True,protein-altering variants raise height (rs62621197),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,10,rs62621197,0,3,"Secreted, extracellular space, extracellular matrix",0,0,0,Q9H324
FBN2,binding protein / matrix,DIRECTION_UNRESOLVED,two of four,2,the molecular direction of the perturbation is known; animal genetics agree with the human direction,True,protein-altering variants raise height (rs154001; rs78727187),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,5,rs154001; rs78727187,0,3,"Secreted; Secreted, extracellular space, extracellular matrix",0,0,0,P35556
ADAMTSL3,extracellular protease,DIRECTION_UNRESOLVED,two of four,2,the molecular direction of the perturbation is known; animal genetics agree with the human direction,True,protein-altering variants raise height (rs4842838; rs950169),False,no allele of stated molecular type produced a length change,False,no mouse length phenotype recorded - agreement untestable,True,secreted - reachable by an extracellular agent,3,rs4842838; rs950169,0,0,"Secreted, extracellular space, extracellular matrix",0,0,0,P82987
EFEMP1,binding protein / matrix,DIRECTION_UNRESOLVED,two of four,2,the molecular direction of the perturbation is known; animal genetics agree with the human direction,True,protein-altering variants raise height (rs146446706),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,1,rs146446706,0,1,"Secreted, extracellular space, extracellular matrix",0,0,0,Q12805
BMP6,ligand / local hormone,DIRECTION_UNRESOLVED,two of four,2,the molecular direction of the perturbation is known; animal genetics agree with the human direction,True,protein-altering variants raise height (rs111588693),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,1,rs111588693,0,2,Secreted,0,1,3,P22004
COL27A1,binding protein / matrix,DIRECTION_UNRESOLVED,two of four,2,the molecular direction of the perturbation is known; animal genetics agree with the human direction,True,protein-altering variants raise height (rs2241671),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,1,rs2241671,0,3,"Secreted, extracellular space, extracellular matrix",0,0,0,Q8IZC6
IGFBP3,secreted inhibitor,DIRECTION_UNRESOLVED,two of four,2,the molecular direction of the perturbation is known; animal genetics agree with the human direction,True,protein-altering variants raise height (rs2854746),False,mouse allele type stated only for the SHORTENING direction: homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,1,rs2854746,0,1,Nucleus; Secreted,0,1,46,P17936
LTBP1,binding protein / matrix,DIRECTION_UNRESOLVED,two of four,2,the molecular direction of the perturbation is known; animal genetics agree with the human direction,True,protein-altering variants raise height (rs2290427),False,no allele of stated molecular type produced a length change,False,no mouse length phenotype recorded - agreement untestable,True,secreted - reachable by an extracellular agent,1,rs2290427,0,0,"Secreted; Secreted, extracellular space, extracellular matrix",0,0,0,Q14766
FBN1,binding protein / matrix,SYNDROMIC_OVERGROWTH,two of four,2,partial human perturbation increases proportionate height; animal genetics agree with the human direction,False,protein-altering variants LOWER height - wrong direction,True,mouse allele type is stated: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,1,2,"Secreted; Secreted, extracellular space, extracellular matrix",0,0,0,P35555
FGFR3,cell-surface receptor,SYNDROMIC_OVERGROWTH,two of four,2,partial human perturbation increases proportionate height; animal genetics agree with the human direction,False,no protein-altering human height variant,True,mouse allele type is stated: homozygous targeted allele - LOSS,False,no human increasing variant to agree with,True,secreted - reachable by an extracellular agent,0,,1,9,Cell membrane; Cytoplasmic vesicle; Endoplasmic reticulum; Secreted,1,2,16035,P22607
IGF2R,cell-surface receptor,DIRECTION_UNRESOLVED,two of four,2,partial human perturbation increases proportionate height; animal genetics agree with the human direction,False,no protein-altering human height variant,True,mouse allele type is stated: heterozygous null - PARTIAL LOSS,False,no human increasing variant to agree with,True,cell-surface - reachable at the receptor level,0,,1,1,Endosome membrane; Golgi apparatus membrane,1,1,34,P11717
ACAN,binding protein / matrix,DYSMORPHIC_OR_DISPROPORTIONATE,fewer than two of four,1,partial human perturbation increases proportionate height; the molecular direction of the perturbation is known; animal genetics agree with the human direction,False,protein-altering variants raise height (rs1042630; rs28559926; rs3817428; rs938608),False,mouse allele type stated only for the SHORTENING direction: heterozygous null - PARTIAL LOSS; homozygous targeted allele - LOSS,False,"species DISAGREE: human variants raise height, mouse loss shortens",True,secreted - reachable by an extracellular agent,15,rs1042630; rs28559926; rs3817428; rs938608,0,6,"Secreted, extracellular space, extracellular matrix",0,1,25,P16112
